law_name,kind,number,source_file
"Code of Criminal Procedure 1898","section","227","CrPC.pdf.txt"
"Code of Criminal Procedure 1898","section","247","CrPC.pdf.txt"
"Code of Criminal Procedure 1898","section","480","CrPC.pdf.txt"
"Code of Criminal Procedure 1898","section","505","CrPC.pdf.txt"
"Code of Criminal Procedure 1898","section","533","CrPC.pdf.txt"
"Pakistan Penal Code 1860","section","16","Pakistan Penal Code.pdf.txt"
"Pakistan Penal Code 1860","section","59","Pakistan Penal Code.pdf.txt"
"Pakistan Penal Code 1860","section","62","Pakistan Penal Code.pdf.txt"
"Pakistan Penal Code 1860","section","373","Pakistan Penal Code.pdf.txt"
"Pakistan Penal Code 1860","section","498","Pakistan Penal Code.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","14","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","18","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","20","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","23","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","25","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","27","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","28","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","29","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","32","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","33","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","34","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","35","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","37","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","39","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","40","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","41","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","42","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","43","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","46","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","47","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","51","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","53","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","56","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","57","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","58","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","65","qanun-e-shahadat-order-1984.pdf.txt"
"Qanun-e-Shahadat Order 1984","section","66","qanun-e-shahadat-order-1984.pdf.txt"
