id,citation,title,summary,court,date
1,SC-0,Supreme Court Judgment,"  Page 1 of 19         THE PRIVATISATION COMMISSION ORDINANCE, 2000             CONTENTS       PART I.—GENERAL   SECTIONS:     1. Short title, extent and commencement.   2. Definitions.   PART II.—PRIVATISATION COMMISSION   3. Establishment of the Commission.   4. Location of Office.   5. Functions and Powers of the Commission.   PART III. —MANAGEMENT AND ADMINISTRATION   6. Board of the Commission.   7. Chairman, Secretary and members.   8. Meetings of the Board.   9. Delegation.   10. Employee",Supreme Court of Pakistan,Unknown
2,SC-1,Supreme Court Judgment,"  Page 1 of 5        THE PAKISTAN STUDY CENTRES, ACT 1976      CONTENTS   __________     SECTIONS:   1 Short title, extent and commencement.   2  Definitions.   3  Establishment of Centre and the Institute.   4  Functions of Centre.   5  Functions of Institute.   6  Board of Governors.   7  Director.   8  Academic Committee.   9  Fund.   10  Audit and accounts, etc.   10A Power to transfer Centres .  11  Power to make rules.   12  Power to make regulations.   Updated till 14.04.2023  Page 2 of 5",Supreme Court of Pakistan,Unknown
3,SC-2,Supreme Court Judgment,"T H E   C H U R C H   O F   S C O T L A N D   K I R K   S E S S I O N S   A C T ,   1 8 9 9 C O N T E N T S S E C T I O N S : 1 . S h o r t   t i t l e   a n d   e x t e n t . 2 . S c o t c h   K i r k   S e s s i o n s   t o   b e   b o d i e   c o r p o r a t e . 3 . P o w e r   t o   h o l d   a n d   d i s p o s e   o f   p r o p e r t y . Page 1 of 4  T H E   C H U R C H   O F   S C O T L A N D   K I R K   S E S S I O N S   A C T ,   1 8 9 9 1A C T   N O .   X X I I I   O F   1 8 9 9 [ 2 7 ",Supreme Court of Pakistan,Unknown
4,SC-3,Supreme Court Judgment,"THE ARMED FORCES (EMERGENCY DUTIES) ACT, 1947 CONTENTS PREAMBLE. 1 Short title and extent. 2 Emergency duties of Armed Forces. 3 Validation of certain past Commands. Page 1 of 3  THE ARMED FORCES (EMERGENCY DUTIES) ACT, 1947. 1ACT No. XV OF 1947 [20th March, 1947] An Act to enable duties in connection with vital services to be imposed in an emergency on the Armed Forces of 2[Pakistan].   WHEREAS it is expedient to enable duties in connection with vital services to be imposed in an emergency on t",Supreme Court of Pakistan,Unknown
5,SC-4,Supreme Court Judgment,"  Page 1 of 3         THE  NET WORK  ANALYSE R STUDY  CENTRE  (TRANSFER  TO  WAPDA)  ORDINANCE,  1983             CONTENTS   1. Short  title and commencement   2.  Definitions   3.  Transfer  of the Centre  to the Authority   4.  Transfer  of existing  civil servants  of the Centre  to the Authority             Page 2 of 3   THE  NETWORK  ANALYSER  STUDY  CENTRE  (TRANSFER  TO  WAPDA ) ORDINANCE, 1983   ORDINANCE  No. I OF 1983   [8th January,  1983]   An Ordinance  to provide  for transfer  of ",Supreme Court of Pakistan,Unknown
6,SC-5,Supreme Court Judgment,"  Page 1 of 65                    THE QANUN­E­SHAHADAT , 1984             CONTENTS                                                                  ________     PART I   RELEVANCY OF FACTS     CHAPTER I   PRELIMINARY     ARTICLES.     1.  Short title, extent and commencement.     2.  Interpretation.     CHAPTER II   OF WITNESSES     3.  Who may testify.     4.  Judges and Magistrates.     5.  Communications during marriage.     6.  Evidence as to affairs of State.     7.  Official communications",Supreme Court of Pakistan,Unknown
7,SC-6,Supreme Court Judgment,"  Page 1 of 14     THE ESTABLISHMENT OF THE OFFICE OF WAFAQI  MOHTASIB  (OMBUDSMAN) ORDER , 1983                   CONTENTS              __________       1. Short title, extent and commencement .    2. Definitions .  3. Appointment of Mohtasib .  4.  Tenure of the Mohtasib .  5.  Mohtasib not to hold  any other office of profit, etc .  6.  Terms and conditions of service and remuneration of Mohtasib .  7.  Acting Mohtasib .  8.  Appointment and terms and conditions of service of staff .  9.  Jur",Supreme Court of Pakistan,Unknown
8,SC-7,Supreme Court Judgment,"  Page 1 of 5          THE OFFENCE OF ZINA (ENFORCEMENT OF HUDOOD)  ORDINANCE, 1979.                 CONTENTS     1. Short title, extent and commencement   2. Definitions   4. Zina  5. Zina liable to hadd   5A. No case to be converted, lodged or registered under certain provisions   6. Zina-bil-Jabr [omitted]   7. Punishment for Zina or Zina -bil-Jabr when convict is not an adult   8. Proof of zina liable to hadd   9. Cases in which hadd shall not be enforced   10 to 1 6. [Omitted]   17. Mode of",Supreme Court of Pakistan,Unknown
9,SC-8,Supreme Court Judgment,"T H E   O A T H   A C T ,   1 8 7 3 C O N T E N T S S E C T I O N S : P A R T   I . I . ­ P R E L I M I N A R Y 1 . S h o r t   t i t l e .   L o c a l   e x t e n t . 2 . [ R e p e a l e d . ] 3 . S a v i n g   o f   c e r t a i n   o a t h s   a n d   a f f i r m a t i o n s . P A R T   I I . A U T H O R I T Y   T O   A D M I N I S T E R   O A T H S   A N D   A F F I R M A T I O N S 4 . A u t h o r i t y   t o   a d m i n i s t e r   o a t h s   a n d   a f f i r m a t i o n s . P A R T   I I ",Supreme Court of Pakistan,Unknown
10,SC-9,Supreme Court Judgment,"Updated till 07.07.2022      JUVENILE JUSTICE SYSTEM ACT, 2018  CONTENTS      SECTIONS:    1. Short title, extent and commencement.    2. Definitions.    3. Legal assistance.    4. Juvenile Court.    5. Arrest of a juvenile.     6. Release of a juvenile on bail.    7. Investigation in juvenile cases .    8. Determination of age.    9. Disposal of cases through diversion.    10. Juvenile Justice Committee.    11. Procedure of Juvenile Court.    12. Trial of juvenile with adult person.    13. Disc",Supreme Court of Pakistan,Unknown
11,SC-10,Supreme Court Judgment,"          THE FEDERAL MEDICAL TEACHING INSTITUTE S ACT, 2021          CONTENTS   _____________     CHAPTER I   PRELIMINARY   1. Short title, extent, application and comme ncement.  CHAPTER II   DEFINITIONS   2. Definitions.  CHAPTER III   MEDICAL TEACHING INSTITUTE   3. The medical teaching institution   4. Board of Governors   5. Conduct of business .  6. Functions and powers of the Board   7. Search and nomination council   8. Governance   9. Management committee   10. Dean   11. Hospital Dire",Supreme Court of Pakistan,Unknown
12,SC-11,Supreme Court Judgment,"  Page 1 of 31          THE PAKISTAN INSTITUTE OF RESEARCH AND  REGISTRATION OF QUALITY ASSURANCE ACT, 2023                 CONTENTS   CHAPTER -I  PRELIMINARY   1. Short Title, Extent and Commencement   2. Definitions   CHAPTER -II  THE INSTITUTE   3. Establishment end Incorporation o f the Ins titute.   4. Functions and Powers of the Institute   5. Institute open to all classes, creeds, etc   6. Teaching at the Institute   CHAPTER -III  OFFICERS OF THE INSTITUTE   7. Officer of the Instit ute  ",Supreme Court of Pakistan,Unknown
13,SC-12,Supreme Court Judgment,"THE STANDARDS OF WEIGHT ACT, 1939 CONTENTS 1 Short title, extent and commencement. 2 Unit for weight. 3 Standard weights. 4 Sets of standard weights. 5 Rules. 6 Repeal. Page 1 of 4  THE STANDARDS OF WEIGHT ACT, 1939 1ACT No. IX OF 1939  [28th March, 1939] An Act to establish standards of weight throughout 2[Pakistan] WHEREAS it is expedient to establish standards of weight throughout 2[Pakistan] ; It is hereby enacted as follows:___ 1. Short title, extent and commencement.__(1) This Act may be c",Supreme Court of Pakistan,Unknown
14,SC-13,Supreme Court Judgment,"THE MANOEUVRES, FIELD FIRING AND ARTILLERY PRACTICE ACT, 1938 CONTENTS SECTION. 1. Short title and extent CHAPTER I. MANOEUVRES 2. Power of Federal Government to authorized manoeuvres. 3. Power exercisable for purpose of manoeuvres. 4. Duty of Officer Commanding to repair damage. 5. Right to compensation for damage caused by manoeuvres. 6. Method of assessing compensation. 7. Offences. CHAPTER II. FIELD FIRING AND ARTILLERY PRACTICE 8. Definitions. 9. Power of Provincial Government to authorise ",Supreme Court of Pakistan,Unknown
15,SC-14,Supreme Court Judgment,"THE MINES MATERNITY BENEFIT ACT, 1941 CONTENTS 1 Short title, extent and commencement. 2 Definitions. 3 Prohibition of employment of, and work by women during certain period. 4 Right to obtain leave of absence in pregnancy and after delivery. 5 Right to and liability for payment of maternity benefit. 6 Payment of bonus. 7 Notice of delivery to be given to manager. 8 Payment of maternity benefit. 9 Disposal of maternity benefit in case of death of women entitled to receive it. 10Prohibition of di",Supreme Court of Pakistan,Unknown
16,SC-15,Supreme Court Judgment,"THE PUNJAB LAWS ACT, 1872 CONTENTS S E C T I O N S : 1 . S h o r t   t i t l e . 2 . L o c a l   e x t e n t .   c o m m e n c e m e n t . 3 . E n a c t m e n t s   i n   f o r c e . 4 . [ R e p e a l e d . ] CIVIL JUDICATURE 5 . D e c i s i o n s   i n   c e r t a i n   c a s e s   t o   b e   a c c o r d i n g   t o   N a t i v e   l a w . 6 . D e c i s i o n s   i n   c a s e s   n o t   s p e c i a l l y   p r o v i d e d   f o r . 7 . L o c a l   c u s t o m s   a n d   m e r c a n t i l e ",Supreme Court of Pakistan,Unknown
17,SC-16,Supreme Court Judgment,"  Page 1 of 3            THE SUPREME COURT (PRACTICE AND PROCEDURE)  ACT, 2023 .                CONTENTS   1. Short title and commencement   2. Constitution of Benches    3. Exercise of original jurisdiction by the Supreme Court   4. Interpretation of the Constitution   5. Appeal   6. Right to appoint counsel of choice   7. Application for fixation of urgent matters   8. Act to override other laws etc .        Page 2 of 3   THE SUPREME COURT (PRACTICE AND PROCEDURE)  ACT, 2023   ACT No. XVII of ",Supreme Court of Pakistan,Unknown
18,SC-17,Supreme Court Judgment,"THE PREVENTION OF ANTI­NA TIONAL A CTIVITIES ACT , 1974 CONTENTS SECTIONS: 1. Short title, extent and commencement. 2. Definitions. 3. Declaration of an association as anti­national. 4. Reference to T ribunal. 5. T ribunal. 6. Finality , and cancellation, of notification. 7. Power to prohibit the use of funds of an anti­national association. 8. Power to notify places used for purposes of an anti­national association. 9. Procedure to be followed in the disposal of applications under this Act. 10.",Supreme Court of Pakistan,Unknown
19,SC-18,Supreme Court Judgment,"  Page 1 of 12         THE NON -PERFORMING ASSETS AND REHABILITATION OF  INDUSTRIAL UNDERTAKINGS  (LEGAL PROCEEDINGS)  ORDINANCE  2000           CONTENTS   l.  Short Title, extent and commencement   2.  Definitions   3.  Ordinance to override other laws   4.  Jurisdiction of High Court   5.  Procedure and Power of High Court   6.  Transfer of Pending proceedings and institution of new cases   7.  Institution of suits etc, by the Corporation   8.  Trial of cases   9.  Procedure of Verification Co",Supreme Court of Pakistan,Unknown
20,SC-19,Supreme Court Judgment,"THE SALE OF GOODS ACT, 1930 CONTENTS PREAMBLE. CHAPTER I. PRELIMINARY 1 Short title, extent and commencement. 2 Definitions. 3 Application of provisions of act IX of 1872. CHAPTER II. FORMATION OF THE CONTRACT Contract of Sale 4 Sale and agreement to sell. Formalities of the Contract 5 Contract of sale how made. Subject­matter of Contarct 6 Existing or future goods. 7 Goods perishing before making of contract. 8 Goods perishing before sale but after agreement to sell. 9 Ascertainment of price. 1",Supreme Court of Pakistan,Unknown
21,SC-20,Supreme Court Judgment,"THE IDENTIFICATION OF PRISONERS ACT, 1920 CONTENTS PREAMBLE. . 1 Short title and extent 2 Definitions 3 Taking of measurements, etc., of convicted persons 4 Taking of measurements, etc, of non­convicted persons 5 Power of Magistrate to order a person to be measured or photographed 6 Resistance to the taking of measurements etc 7 Destruction of photographs and records of measurements, etc on acquittal 8 Power to make rules 9 Bar of suits Page 1 of 5  THE IDENTIFICATION OF PRISONERS ACT, 1920 1ACT",Supreme Court of Pakistan,Unknown
22,SC-21,Supreme Court Judgment,"THE IDENTIFICATION OF PRISONERS ACT, 1920 CONTENTS PREAMBLE. . 1 Short title and extent 2 Definitions 3 Taking of measurements, etc., of convicted persons 4 Taking of measurements, etc, of non­convicted persons 5 Power of Magistrate to order a person to be measured or photographed 6 Resistance to the taking of measurements etc 7 Destruction of photographs and records of measurements, etc on acquittal 8 Power to make rules 9 Bar of suits Page 1 of 5  THE IDENTIFICATION OF PRISONERS ACT, 1920 1ACT",Supreme Court of Pakistan,Unknown
23,SC-22,Supreme Court Judgment,"T H E   M E R C H A N T   S H I P P I N G   O R D I N A N C E ,   2 0 0 1 C O N T E N T S S E C T I O N S . P A R T   I P R E L I M I N A R Y 1 S h o r t   t i t l e ,   e x t e n t ,   a p p l i c a t i o n   a n d   c o m m e n c e m e n t . 2 D e f i n i t i o n s . C H A P T E R   I I M E R C A N T I L E   M A R I N E   D E P A R T M E N T 3 O f f i c e   o f   M e r c a n t i l e   M a r i n e   D e p a r t m e n t . 4 S u r v e y o r s . 5 R a d i o   I n s p e c t o r s . C H A P T E R   ",Supreme Court of Pakistan,Unknown
24,SC-23,Supreme Court Judgment,"THE ENFORCEMENT OF SHARI'AH ACT, 1991 CONTENTS 1 Short title, extent and commencement 2 Definition 3 Supremacy of Shari'ah 4 Laws to be interpreted in the light of Shariah 5 Observance of Shari'ah by Muslim citizens 6 Teaching of and training in, Shari'ah etc 7 Islamization of education 8 Islamization of economy 9 Mass media to promote Islamic values 10 Protection of life, liberty, property, etc 11 Elimination of bribery and corruption 12 Eradication of obscenity, vulgarity, etc 13 Eradication o",Supreme Court of Pakistan,Unknown
25,SC-24,Supreme Court Judgment,"  Page 1 of 3     THE MEDICAL AND DENTAL DEGREES ORDINANCE, 1982     CONTENTS   1 Short  title, extent and commencement   2 Definitions   3 Right to confer degrees, etc   4 Prohibition of unauthor ised conferment of degrees, etc   5 Contravention of section   6 Penalty for falsely assuming or using Medical and Dental titles   7 Cognizance of offences   8 Jurisdiction of Magistrate   9 Offences to be bailable   10 Repeal   SCHEDULE   Page 2 of 3   THE MEDICAL AND  DENTAL DEGREES ORDINANCE, 1982. ",Supreme Court of Pakistan,Unknown
26,SC-25,Supreme Court Judgment,"Page 1 of 2            THE  PROVINCIAL  SERVICE  TRIBUNALS  (EXTEN SION  OF  PROVI SIONS  OF THE  CON STITUTIO N) ACT, 1974                        CONTENTS   1.   Short title and comme ncement  2.  Provisions of Article 212 (2) to extend to Provincial Service Tribunals          Page 2 of 2   THE  PROVINCIAL  SERVICE  TRIBUNALS  (EXTEN SION  OF PROVI SIONS  OF THE   CON STITUTIO N) ACT, 1974     1ACT NO. XXXII OF 1974              [2nd May, 1974]     An Act to extend the provisio ns of clause (2)",Supreme Court of Pakistan,Unknown
27,SC-26,Supreme Court Judgment,"    Page 1 of 3      THE  MANAGED  CEMENT ESTABLISHMENTS (PAYMENT TO   CORPORATION)  ORDINANCE,  1979                                      CONTENTS                                PREAMBLE     1 Short  title, extent  and commencement.   2 Definitions.   3 Payment  by units  to Corporation.   4 Allowance  to be made  for amounts  paid by a unit for purpose  of income­tax   5 Cement  Development  Fund   6 Power  to make  rules         Page 2 of 3  THE  MANAGED  CEMENT  ESTABLISHMENTS  (PAYMENT  TO ",Supreme Court of Pakistan,Unknown
28,SC-27,Supreme Court Judgment,"  Page 1 of 27        THE INSTITUTE OF SPACE TECHNOLOGY ACT, 2010 .                CONTENTS   CHAPTER I   PRELIMINARY   1. Short title and commencement    2. Definitions   CHAPTER II   THE INSTITUTE   3. Establishment of the Institute   4. Powers and purposes of the Institute   5. Institute open to a ll classes, creeds, etc .  6. Teaching at the Institute   CHAPTER III   OFFICERS OF THE INSTITUTE   7. Officers   8. Chancellor   9. Removal from the Senate   10. Vice -Chancellor   11. Appointment ",Supreme Court of Pakistan,Unknown
29,SC-28,Supreme Court Judgment,"  Page 1 of 35       THE PAKISTAN AIRPORTS AUTHORITY ACT , 2023         CONTENTS   CHAPTER I     PRELIMINARY   1  Short title, extent, application and commencement   2.  Definitions   CHAP TER -II    PAKISTAN AIRPORTS AUTHORITY   3.  Establishment of the Authority   4.  Functions and powers of the Authority   5.  Performance of functions otherwise than through officers   6.  The Board and members   7.  Meetings of the Board   8.  Committee s of the Board   9.  Executive committee of the Authorit",Supreme Court of Pakistan,Unknown
30,SC-29,Supreme Court Judgment,"  Page 1 of 13                   THE PROTECTION OF JOURNALIST S AND MEDIA  PROFESSIONALS  ACT , 2021                            CONTENTS     PART -I  PRELIMINARY   1. Short title, extent and commencement.   2. Definitions .  PART -II  RIGHTS OF JOURNALISTS AND MEDIA PROFESSIONALS   3. Right to life and protection against ill treatment .  4. Right to privacy and non -disclosure of sources .  5. Independence in the performance of duties .  6. Good faith obligation of journalists and media pro fess",Supreme Court of Pakistan,Unknown
