index,file_name,chars,corruption_score,spaced_letter_runs,soft_hyphens,unicode_escapes,non_ascii,multi_spaces,short_word_ratio,act_markers,preview
0,administrator00532129aba2e10fe634ab8fbd94c50b.pdf.txt,47442,0.1428,0,46,0,229,2,0.2248,CONSTITUTION;ORDINANCE;ACT;ORDER;REGULATION,"Page 1 of 19 THE PRIVATISATION COMMISSION ORDINANCE, 2000 CONTENTS PART I.—GENERAL SECTIONS: 1. Short title, extent and commencement. 2. Definitions. PART II.—PRIVATISATION COMMISSION 3. Establishment of the Commission. …"
1,administrator00607dfddff08b6d0a71b341f1667f23.pdf.txt,9332,0.1085,0,0,0,25,0,0.2503,ACT;ORDER;REGULATION,"Page 1 of 5 THE PAKISTAN STUDY CENTRES, ACT 1976 CONTENTS __________ SECTIONS: 1 Short title, extent and commencement. 2 Definitions. 3 Establishment of Centre and the Institute. 4 Functions of Centre. 5 Functions of Ins…"
2,administrator0088a4e5781b74cea37ea233c4a2e2c5.pdf.txt,6998,0.6379,68,6,0,667,0,0.9333,,"T H E C H U R C H O F S C O T L A N D K I R K S E S S I O N S A C T , 1 8 9 9 C O N T E N T S S E C T I O N S : 1 . S h o r t t i t l e a n d e x t e n t . 2 . S c o t c h K i r k S e s s i o n s t o b e b o d i e c o r …"
3,administrator00c80ea2ca2b4893b362c3c44bddafe2.pdf.txt,3084,0.1232,0,0,0,517,0,0.2272,ORDINANCE;ACT;ORDER,"THE ARMED FORCES (EMERGENCY DUTIES) ACT, 1947 CONTENTS PREAMBLE. 1 Short title and extent. 2 Emergency duties of Armed Forces. 3 Validation of certain past Commands. Page 1 of 3 THE ARMED FORCES (EMERGENCY DUTIES) ACT, 1…"
4,administrator0101918a1a0e6cdb96f6e0e8f3453767.pdf.txt,5393,0.1114,0,0,0,13,1,0.2577,ORDINANCE;ACT;REGULATION,"Page 1 of 3 THE NET WORK ANALYSE R STUDY CENTRE (TRANSFER TO WAPDA) ORDINANCE, 1983 CONTENTS 1. Short title and commencement 2. Definitions 3. Transfer of the Centre to the Authority 4. Transfer of existing civil servant…"
5,administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf.txt,157462,0.3156,0,212,0,673,5,0.305,PENAL CODE;CRIMINAL PROCEDURE;CIVIL PROCEDURE;CONSTITUTION;ORDINANCE;ACT;ORDER;REGULATION,"Page 1 of 65 THE QANUN­E­SHAHADAT , 1984 CONTENTS ________ PART I RELEVANCY OF FACTS CHAPTER I PRELIMINARY ARTICLES. 1. Short title, extent and commencement. 2. Interpretation. CHAPTER II OF WITNESSES 3. Who may testify.…"
6,administrator012621ac4e2ae2f63a4871b5325c9e60.pdf.txt,38365,0.1083,0,0,0,70,2,0.2434,ACT;ORDER;REGULATION,"Page 1 of 14 THE ESTABLISHMENT OF THE OFFICE OF WAFAQI MOHTASIB (OMBUDSMAN) ORDER , 1983 CONTENTS __________ 1. Short title, extent and commencement . 2. Definitions . 3. Appointment of Mohtasib . 4. Tenure of the Mohtas…"
7,administrator013dce43abb4246aff25c6c343830235.pdf.txt,9549,0.1694,0,52,0,60,0,0.2972,PENAL CODE;CRIMINAL PROCEDURE;ORDINANCE;ACT;ORDER,"Page 1 of 5 THE OFFENCE OF ZINA (ENFORCEMENT OF HUDOOD) ORDINANCE, 1979. CONTENTS 1. Short title, extent and commencement 2. Definitions 4. Zina 5. Zina liable to hadd 5A. No case to be converted, lodged or registered un…"
8,administrator0158e1a02138a940073e102386a7525a.pdf.txt,21148,0.712,214,16,0,2003,0,0.9383,ACT,"T H E O A T H A C T , 1 8 7 3 C O N T E N T S S E C T I O N S : P A R T I . I . ­ P R E L I M I N A R Y 1 . S h o r t t i t l e . L o c a l e x t e n t . 2 . [ R e p e a l e d . ] 3 . S a v i n g o f c e r t a i n o a t …"
9,administrator01c49d3cff67abf97e39c2e1d6dacc43.pdf.txt,27486,0.1227,0,0,0,41,0,0.2814,PENAL CODE;CRIMINAL PROCEDURE;CONSTITUTION;ORDINANCE;ACT;ORDER,"Updated till 07.07.2022 JUVENILE JUSTICE SYSTEM ACT, 2018 CONTENTS SECTIONS: 1. Short title, extent and commencement. 2. Definitions. 3. Legal assistance. 4. Juvenile Court. 5. Arrest of a juvenile. 6. Release of a juven…"
10,administrator027155abdeecbd000014ea60bb6abd1a.pdf.txt,38567,0.0965,0,0,0,75,10,0.2107,CONSTITUTION;ACT;ORDER;REGULATION,"THE FEDERAL MEDICAL TEACHING INSTITUTE S ACT, 2021 CONTENTS _____________ CHAPTER I PRELIMINARY 1. Short title, extent, application and comme ncement. CHAPTER II DEFINITIONS 2. Definitions. CHAPTER III MEDICAL TEACHING I…"
11,administrator02afd897f3862814d8ae948ec5c28831.pdf.txt,74167,0.1182,0,0,0,132,1,0.2598,CONSTITUTION;ORDINANCE;ACT;ORDER;REGULATION,"Page 1 of 31 THE PAKISTAN INSTITUTE OF RESEARCH AND REGISTRATION OF QUALITY ASSURANCE ACT, 2023 CONTENTS CHAPTER -I PRELIMINARY 1. Short Title, Extent and Commencement 2. Definitions CHAPTER -II THE INSTITUTE 3. Establis…"
12,administrator02b600b49ea24e787b8b7a99aaf4202f.pdf.txt,5177,0.1406,0,2,0,845,0,0.226,ORDINANCE;ACT;ORDER,"THE STANDARDS OF WEIGHT ACT, 1939 CONTENTS 1 Short title, extent and commencement. 2 Unit for weight. 3 Standard weights. 4 Sets of standard weights. 5 Rules. 6 Repeal. Page 1 of 4 THE STANDARDS OF WEIGHT ACT, 1939 1ACT …"
13,administrator030cc282023223109516f8022bd6a802.pdf.txt,18076,0.1981,0,6,0,2892,0,0.2183,ORDINANCE;ACT;ORDER,"THE MANOEUVRES, FIELD FIRING AND ARTILLERY PRACTICE ACT, 1938 CONTENTS SECTION. 1. Short title and extent CHAPTER I. MANOEUVRES 2. Power of Federal Government to authorized manoeuvres. 3. Power exercisable for purpose of…"
14,administrator0316da7d3863efa4378a3c4e87a9e42f.pdf.txt,21510,0.2148,0,12,0,3759,0,0.247,ORDINANCE;ACT;ORDER;REGULATION,"THE MINES MATERNITY BENEFIT ACT, 1941 CONTENTS 1 Short title, extent and commencement. 2 Definitions. 3 Prohibition of employment of, and work by women during certain period. 4 Right to obtain leave of absence in pregnan…"
15,administrator03228293f22331aa4d74568d913399ac.pdf.txt,43023,0.766,411,88,0,4145,0,0.9111,ORDINANCE;ACT;ORDER;REGULATION,"THE PUNJAB LAWS ACT, 1872 CONTENTS S E C T I O N S : 1 . S h o r t t i t l e . 2 . L o c a l e x t e n t . c o m m e n c e m e n t . 3 . E n a c t m e n t s i n f o r c e . 4 . [ R e p e a l e d . ] CIVIL JUDICATURE 5 . …"
16,administrator032fd909161c765fc557d9ffa832803f.pdf.txt,4549,0.0927,0,0,0,3,1,0.2153,CONSTITUTION;ACT;ORDER;REGULATION,"Page 1 of 3 THE SUPREME COURT (PRACTICE AND PROCEDURE) ACT, 2023 . CONTENTS 1. Short title and commencement 2. Constitution of Benches 3. Exercise of original jurisdiction by the Supreme Court 4. Interpretation of the Co…"
17,administrator0378b1efd2db788f7749c3f7f60824ab.pdf.txt,25989,0.3315,0,148,0,3656,0,0.2811,CONSTITUTION;ORDINANCE;ACT;ORDER,"THE PREVENTION OF ANTI­NA TIONAL A CTIVITIES ACT , 1974 CONTENTS SECTIONS: 1. Short title, extent and commencement. 2. Definitions. 3. Declaration of an association as anti­national. 4. Reference to T ribunal. 5. T ribun…"
